Posto_ID;Cidade;Posto;Latitude;Longitude
874;Moraújo;AÇUDE VÁRZEA DA VOLTA;-3,502833333;-40,60963889
140;Tabuleiro do Norte;TABULEIRO DO NORTE;-5,248416667;-38,12925
31;Caridade;CARIDADE;-4,233;-39,18330556
254;Santa Quitéria;LOGRADOURO;-5,083;-40,1333
246;Ibiapina;SANTO ANTONIO DA PINDOBA;-3,961972222;-41,09363889
4;Aiuaba;AIUABA;-6,567;-40,11669444
625;Acaraú;LAGOA DO CARNEIRO;-3,032694444;-40,05286111
635;Granja;TIMONHA;-3,258194444;-41,13138889
774;Sobral;PATOS;-3,758888889;-40,03277778
139;Solonópole;SOLONOPOLE;-5,733694444;-39,00694444
580;Jucás;POCO GRANDE;-6,467;-39,68330556
704;Beberibe;SITIO FORQUILHA -  COGERH;-4,586055556;-38,03433333
582;Cariús;ANGICO;-6,661944444;-39,51602778
550;Croatá;CROATA;-4,426944444;-40,90930556
736;Maracanaú;NOVO MARACANAU;-3,861833333;-38,62411111
759;Solonópole;ACUDE TIGRE;-5,884833333;-39,15491667
392;Orós;AC. OROS;-6,244333333;-38,92455556
463;Russas;PEIXE;-4,925777778;-38,09058333
479;Ipaumirim;FELIZARDO;-6,872444444;-38,72894444
632;Tianguá;TABAINHA;-3,475305556;-40,82897222
627;Bela Cruz;MATRIZ;-3,067;-40,33330556
662;Boa Viagem;AGUAS BELAS;-4,870138889;-39,90002778
235;Viçosa do Ceará;PADRE VIEIRA;-3,571861111;-41,32583333
102;Orós;OROS;-6,243777778;-38,91211111
218;Quixeramobim;LACERDA;-5,432333333;-39,35527778
516;Jaguaribe;SITIO SEVERO;-6,074;-38,86738889
122;Quixelô;QUIXELO;-6,255638889;-39,20441667
437;Quixeré;LAGOINHA;-5,082166667;-37,91252778
96;Morrinhos;MORRINHOS;-3,23225;-40,12922222
53;Guaraciaba do Norte;GUARACIABA DO NORTE;-4,161083333;-40,74822222
482;Sobral;SAO JOSE DO TORTO;-3,786833333;-40,61558333
850;Campos Sales;ACUDE POCO DE PEDRAS;-6,988277778;-40,35480556
579;Caririaçu;VILA FEITOSA;-6,965888889;-39,18333333
833;Salitre;CAMPESTRE;-7,21925;-40,49808333
260;Canindé;FAZENDA CAXINOA;-4,283;-39,2833
537;Itapajé;SANTA CRUZ;-3,668111111;-39,52016667
68;Itapipoca;ITAPIPOCA;-3,498277778;-39,57661111
281;Caucaia;ICARAI;-3,667;-38,6667
37;Catarina;CATARINA;-6,13575;-39,87561111
552;Eusébio;EUSEBIO;-3,9;-38,5
229;Crateús;MORRO ALEGRE;-5,116777778;-40,71938889
435;Tabuleiro do Norte;CAMPOS VELHOS;-5,522444444;-38,00905556
328;Jaguaribe;FEITICEIRO;-5,951277778;-38,82713889
716;Boa Viagem;SERRA DA GUIA;-4,91125;-39,80522222
741;Maracanaú;MUSEU RODOLFO TEOFILO;-3,858527778;-38,58533333
509;Missão Velha;QUIMAMI;-7,1875;-39,0855
252;Pires Ferreira;PIRES FERREIRA;-4,244527778;-40,6345
581;Cariús;SAO SEBASTIAO;-6,598527778;-39,59994444
418;Limoeiro do Norte;SITIO MALHADA;-5,101083333;-38,09458333
162;Ocara;CURUPIRA;-4,532555556;-38,54441667
193;Pentecoste;PROVIDENCIA;-3,967;-39,13330556
126;Reriutaba;RERIUTABA;-4,141277778;-40,58458333
892;Maranguape;VICOSA 01;-3,923666667;-38,73180556
305;Alto Santo;COMUNIDADE BAIXA UMBURANA;-5,669027778;-38,12027778
63;Ipueiras;IPUEIRAS;-4,533;-40,71836111
222;Viçosa do Ceará;SITIO VAMBIRA;-3,6375;-41,14880556
825;Milagres;AGUA VERMELHA;-7,407527778;-38,93163889
212;Banabuiú;BANABUIU;-5,308611111;-38,91752778
438;Solonópole;AC. RIACHO DO SANGUE;-5,695055556;-38,95013889
591;Acopiara;GUARIBAS;-6,055527778;-39,58094444
200;Paramoti;AGUA BOA;-4,117;-39,3
647;Quixeramobim;SAO MIGUEL;-5,347166667;-39,51605556
694;Banabuiú;BARRA DE SITIA;-5,15;-38,65
355;Pentecoste;CASA DE PEDRA;-3,762888889;-39,07861111
184;Potiretama;POTIRETAMA;-5,7;-38,16669444
696;Morada Nova;FAZENDA LACRAIA;-5,136555556;-38,46627778
78;Juazeiro do Norte;JUAZEIRO DO NORTE;-7,246027778;-39,326
789;Varjota;DIPAN-ESCRITORIO DO DNOCS;-4,169916667;-40,50733333
318;Icó;ICOZINHO;-6,489861111;-38,62275
111;Parambu;PARAMBU;-6,215861111;-40,70277778
276;Reriutaba;AMANAIARA;-4,067055556;-40,52822222
729;Tauá;FAZ.BELO HORIZONTE;-5,754722222;-40,33583333
160;Aracoiaba;IDEAL;-4,416666667;-38,66666667
750;Canindé;BAIXA FRIA;-4,527027778;-39,37980556
622;Fortaleza;PARQUE ECOLOGICO DO COCO;-3,733;-38,4833
666;Mombaça;MANOEL CORREIA;-5,682944444;-39,95305556
10;Apuiarés;APUIARES;-3,95;-39,43330556
623;Fortaleza;SITIO LUCAS;0;0
744;São Gonçalo do Amarante;CAGADO;-3,556444444;-39,18563889
174;Quiterianópolis;ALGODOES;-6,05;-40,75
805;Piquet Carneiro;ACUDE SAO JOSE II;-5,838388889;-39,48041667
861;Tururu;FAZENDA SÃO DOMINGOS;-3,648444444;-39,36825
49;General Sampaio;GENERAL SAMPAIO;-4,048027778;-39,448
863;Santa Quitéria;FAZENDA NAO ME DEIXE;-4,365777778;-40,05288889
390;Quixadá;AC. CEDRO;-4,979888889;-39,08
827;Crateús;SITIO BAIXA GRANDE;-5,313694444;-40,79291667
494;Quixeramobim;BELEM;-5,290055556;-39,14925
621;Iguatu;BUGI;-6,366666667;-39,28333333
753;Pereiro;ACUDE MADEIRO;-6,183694444;-38,54066667
812;Itaitinga;SEMAN;-3,948138889;-38,55863889
841;Itapiúna;FAZENDA BOA VISTA;-4,537027778;-38,91455556
539;Cedro;LAGEDO;-6,477027778;-39,06616667
417;Aracati;AEROPORTO DE ARACATI;-4,566111111;-37,79458333
481;Sobral;RAFAEL ARRUDA;-3,835055556;-40,66516667
166;Campos Sales;ITAGUA;-6,964388889;-40,33163889
765;Quixadá;IFCE QUIXADA;-4,978444444;-39,05847222
195;Itapipoca;BELA VISTA;-3,225777778;-39,63041667
707;Acopiara;FAZENDA MORADA NOVA;-6,186111111;-39,58186111
148;Uruburetama;URUBURETAMA;-3,632694444;-39,49338889
484;Sobral;JORDAO;-3,676277778;-40,46738889
541;Pacatuba;MONGUBA;-3,55;-38,61666667
602;Ararendá;ARARENDA;-4,750111111;-40,82794444
74;Jaguaribe;JAGUARIBE;-5,886138889;-38,62069444
182;Tauá;VERA CRUZ;-5,881027778;-39,94969444
191;Tejuçuoca;BOA ACAO;-3,987222222;-39,58555556
574;Crato;DOM QUINTINO;-7,041305556;-39,47119444
533;Uruoca;PARACUA;-3,231611111;-40,79472222
290;Milhã;MILHA;-5,68075;-39,19663889
250;Pereiro;COMUNIDADE GROSSAS;-5,965055556;-38,41083333
818;Uruburetama;ACUDE MUNDAU;-3,631694444;-39,51725
679;Guaraciaba do Norte;MORRINHOS NOVOS;-4,176166667;-40,86466667
665;Boa Viagem;PIEDADE;-5,278222222;-39,69169444
529;Missão Velha;GAMELEIRO DE S. SEBASTIAO;-7,409611111;-39,21294444
871;Santa Quitéria;AÇUDE EDSON QUEIROZ;-4,213222222;-40,07266667
127;Russas;RUSSAS;-4,941916667;-37,97672222
407;Itapipoca;FAZENDA LAGOINHA;-3,4;-39,56666667
445;Sobral;AC. SOBRAL;-3,658583333;-40,3655
268;Pentecoste;COMUNIDADE LEMOS;-3,9;-39
352;Pentecoste;MARACAJA;-3,762888889;-39,07861111
269;Maranguape;LAGOA DO JUVENAL;-4,028277778;-38,97152778
567;Itapipoca;FAZENDA SANTA LUIZA;-3,2;-39,5333
19;Baixio;BAIXIO;-6,731638889;-38,71869444
672;Santa Quitéria;ITATAIA;-4,567;-39,78330556
247;Jijoca de Jericoacoara;JIJOCA DE JERICOACOARA;-2,899027778;-40,45486111
713;São João do Jaguaribe;FAZENDA LOGRADOURO;-5,388805556;-38,24369444
487;Sobral;CAIOCA;-3,681638889;-40,24238889
301;Amontada;ARACATIARA;-3,191055556;-39,756
730;Independência;FAZ.REALEZA;-5,6745;-40,3495
303;Amontada;SABIAGUABA;-3,099833333;-39,58680556
79;Jucás;JUCAS;-6,517;-39,51694444
771;Ipaumirim;SITIO SAO PEDRO;-6,748277778;-38,81272222
265;Sobral;SINHA SABOIA;-3,703083333;-40,34125
29;Canindé;CANINDE;-4,364444444;-39,32027778
660;Independência;JANDRANGOEIRA;-5,484916667;-40,21161111
779;Orós;GUASSUSSE;-6,33575;-38,98011111
54;Guaramiranga;GUARAMIRANGA;-4,267;-38,93330556
343;Pedra Branca;RIACHAO DO BANABUIU;-5,465388889;-39,99644444
791;Coreaú;FAZENDA BOM PASTOR;-3,527472222;-40,7075
394;Maranguape;AC. AMANARY;-4,013361111;-38,8855
428;Aiuaba;ESTACAO ECOLOGICA;-6,6;-40,31669444
661;Boa Viagem;PITOMBEIRA (2);-5,011583333;-39,74813889
372;Canindé;ESPERANCA;-4,7;-39,31669444
245;Madalena;MACAOCA;-4,755888889;-39,47883333
419;Icapuí;RETIRO GRANDE;-4,713861111;-37,52708333
575;Barreira;SAO JOSE;-4,283;-38,61669444
179;Tauá;SAO JOAO DO TRISSI;-5,846777778;-40,47866667
240;Caucaia;SITIOS NOVOS;-3,772777778;-38,95813889
697;Coreaú;SITIO URUBU;-3,54825;-40,57425
112;Paramoti;PARAMOTI;-4,099666667;-39,23333333
104;Pacatuba;PACATUBA;-3,979222222;-38,61355556
870;Forquilha;AÇUDE ARREBITA;-3,844611111;-40,27297222
58;Icó;ICO;-6,407916667;-38,86205556
752;Crateús;BELEM;-5,058722222;-40,58066667
192;Crateús;IRAPUA;-5,14675;-40,41277778
263;Itapipoca;BETANIA;-3,2675;-39,6475
171;Caridade;INHUPORANGA;-4,083;-39,05
709;Tauá;FAZENDA CORISCO;-6,233;-40,35
94;Morada Nova;MORADA NOVA;-5,189444444;-38,35305556
358;Quiterianópolis;QUITERIANOPOLIS;-5,905833333;-40,70675
349;Deputado Irapuan Pinheiro;DEP. IRAPUAN PINHEIRO;-5,918361111;-39,26727778
712;Ocara;FAZ.NOVA CIOMA;-4,4925;-38,55555556
319;Icó;LIMA CAMPOS;-6,404111111;-38,95405556
33;Caririaçu;CARIRIACU;-7,046611111;-39,28541667
876;Aurora;AGROVILA;-6,991361111;-39,02563889
783;Cedro;EMATERCE;-6,604638889;-39,06058333
585;Jucás;MEL;-6,387138889;-39,59297222
324;Iguatu;ESTRADA;0;0
881;Aurora;COMUNIDADE TERRA VERMELHA;-7,124472222;-39,10613889
75;Jaguaruana;JAGUARUANA;-4,848583333;-37,78163889
520;Brejo Santo;POCO DO PAU;-7,549027778;-38,83786111
717;Morada Nova;LAGOA DA SERRA;-4,936055556;-38,29163889
36;Cascavel;CASCAVEL;-4,133194444;-38,23286111
878;Ipueiras;ACUDE JATOBA II;-4,587694444;-40,74536111
167;Beberibe;BOQUEIRAO DO CESARIO;-4,590638889;-38,21175
532;Mauriti;SAO MIGUEL;-7,337;-38,67172222
732;Santa Quitéria;LISIEUX;-4,002805556;-40,18736111
103;Pacajus;PACAJUS;-4,183;-38,46669444
73;Jaguaribara;JAGUARIBARA;-5,462111111;-38,46294444
176;Pindoretama;PINDORETAMA;-4,05;-38,33330556
555;Tauá;AC. FAVELAS;-5,967;-40,11669444
251;Pereiro;DANIEL DE QUEIROS;-4,866666667;-38,93333333
659;Independência;EMATUBA;-5,201555556;-40,17766667
626;Santana do Acaraú;PARAPUI;-3,346888889;-40,17277778
684;Nova Russas;NOVA BETANIA;-4,627805556;-40,51888889
893;Maranguape;VICOSA 02;-3,923611111;-38,73044444
226;Russas;FLORES;-5,05;-38,05
313;Itapipoca;ARAPARI;-3,543944444;-39,56822222
81;Limoeiro do Norte;LIMOEIRO DO NORTE;-5,151888889;-38,09844444
330;Jaguaribe;NOVA FLORESTA;-5,949666667;-38,90525
700;Campos Sales;CABACEIRA;-7,05;-40,4
572;Potengi;BARREIROS DE BAIXO;-7,049222222;-40,13327778
354;Barreira;BARREIRA;-4,287472222;-38,63930556
530;Barro;BREJINHO;-7,171305556;-38,92013889
780;Assaré;AMARO;-6,894944444;-39,71741667
115;Pentecoste;PENTECOSTE;-3,795666667;-39,27230556
669;Massapê;TANGENTE;-3,417111111;-40,38772222
132;São Benedito;SAO BENEDITO;-4,046305556;-40,86661111
